s,left,right
3.26,1.7690197654973407,1.0564909151624053
3.27,1.7692401600121224,1.0563339483705712
3.28,1.7694744357169172,1.0563338753770948
3.29,1.76972705821948,1.0563649516159186
3.3,1.7700024971613344,1.0563012834714742
3.31,1.7703048441455935,1.0560210248066346
3.32,1.7706288793940326,1.0555020220394715
3.33,1.7709597157973664,1.0548256251285348
3.34,1.7712820169865455,1.054077994044154
3.35,1.7715804780799191,1.053345243705855
3.36,1.7718577556749242,1.05268779052869
3.37,1.7721644737369626,1.0520974213001488
3.38,1.772559177601586,1.051554589255219
3.39,1.7731004126043464,1.0510397476288884
3.4,1.7738344793488068,1.0505343335671098
3.41,1.7747135736169386,1.0500273458975315
3.42,1.7756462584956325,1.0495112895014376
3.43,1.7765408580894342,1.0489786884632555
3.44,1.7773077483471367,1.048422876453263
3.45,1.7779213637332394,1.0478624623876407
3.46,1.7784312595925813,1.0473456952499678
3.47,1.7788912732025672,1.046922513524389
3.48,1.7793552337716012,1.0466428382460948
3.49,1.779862723947844,1.0465257827174523
3.5,1.7804097511770942,1.0464962302534455
3.51,1.780984020476341,1.046461110431161
3.52,1.7815732368625732,1.0463273528276853
3.53,1.7821651919669104,1.046012930442215
3.54,1.7827484536928517,1.0455347920827798
3.55,1.7833119993434048,1.0449620855643469
3.56,1.7838448099055348,1.0443644284117362
3.57,1.784336480934905,1.0438104220988265
3.58,1.7848016111944653,1.0433273309269413
3.59,1.7852879377703772,1.0428876324426852
3.6,1.7858454799180574,1.0424600311397405
3.61,1.7865242549560325,1.0420132327105542
3.62,1.787347561854942,1.0415324791575062
3.63,1.788244878069679,1.0410610797582927
3.64,1.7891250986194736,1.0406550825099627
3.65,1.7898971185235555,1.0403705354095651
3.66,1.7904783725592663,1.0402550624852878
3.67,1.7908761321363953,1.0402676692137756
3.68,1.7911514397999628,1.0403143190108899
3.69,1.7913660636104833,1.04030025961415
3.7,1.7915811608270134,1.0401318749065798
3.71,1.7918243171719876,1.0397779948410248
3.72,1.7920727783873613,1.0393010862500194
3.73,1.7922996522150485,1.0387713130173961
3.74,1.792478046396962,1.038258839026989
3.75,1.7925885090533116,1.037817180153834
3.76,1.792641629154612,1.0374326352148806
3.77,1.7926555763724392,1.0370745410430322
3.78,1.7926485203785967,1.0367122344706856
3.79,1.792634457449466,1.036318845158615
3.8,1.7925754305636084,1.0359147185050104
3.81,1.7923982564803682,1.0355522138895863
3.82,1.7920290831214754,1.0352842985391542
3.83,1.791395001701433,1.0351633032067151
3.84,1.790496597208262,1.0351919697336034
3.85,1.789459321383243,1.035288787838813
3.86,1.7884207576803854,1.0353640615352302
3.87,1.787518489553698,1.03532809483574
3.88,1.7868378477148188,1.0351131896057362
3.89,1.78622146847796,1.0347538194879573
3.9,1.7854415793133878,1.0343140995046012
3.91,1.7842704002003487,1.0338581478315056
3.92,1.7824997563271774,1.0334471783121786
3.93,1.7802132133984805,1.0330991861021916
3.94,1.7777180981898202,1.0327990182019648
3.95,1.7753274461455644,1.0325306759248705
3.96,1.7733524525020972,1.0322782039663225
3.97,1.771887110372666,1.032030767459932
3.98,1.7706064808778015,1.031787407664588
3.99,1.7691378957458623,1.0315482910372173
4.0,1.7671086867052093,1.031313584034746
